Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-09-18 17:23:13,Running,,8.13,1:20:47,9:56,6.04,526.0,85.85,,"Slow and good run. Perfect weather. ",2016-09-18-1723.gpx
2016-09-11 16:21:14,Walking,,1.55,18:31,11:58,5.01,89.9757041732498,,,"Walking",
2016-09-09 19:52:37,Walking,,1.36,17:09,12:37,4.75,84.9637949222199,,,"Walking",
2016-09-09 14:46:07,Walking,,1.51,18:29,12:15,4.90,89.0210547921012,,,"Walking",
2016-09-08 14:53:21,Walking,,1.48,17:45,11:58,5.01,88.0664054109527,,,"Walking",
2016-09-08 14:12:51,Walking,,1.41,17:08,12:08,4.94,68.9734177879819,,,"Walking",
2016-09-07 17:03:38,Walking,,0.75,8:55,11:57,5.02,69.9280671691305,,,"Walking",
2016-09-07 13:56:01,Walking,,1.76,21:32,12:15,4.90,96.8969121865767,,,"Walking",
2016-09-03 19:00:50,Walking,,1.36,16:43,12:16,4.89,89.0210547921012,,,"Walking",
2016-09-03 17:52:32,Running,,4.13,36:25,8:49,6.81,308.0,51.82,,"Day 8. Pretty good weather but was a bit difficult to run 🏃. ",2016-09-03-1752.gpx
2016-09-01 19:45:03,Running,,7.54,1:10:37,9:22,6.40,527.0,79.55,,"Day 7. Good weather, good run. ",2016-09-01-1945.gpx
2016-09-01 15:22:20,Walking,,1.22,14:11,11:38,5.16,61.0975603935065,,,"Walking",
2016-08-31 15:19:56,Walking,,0.64,7:24,11:33,5.20,37.9473129006544,,,"Walking",
2016-08-30 19:07:06,Running,,7.00,1:04:54,9:17,6.47,630.0,437.00,,"Good weather, tough run. But could complete the plan after initial difficulty. ",2016-08-30-1907.gpx
2016-08-28 19:45:58,Running,,6.98,1:15:16,10:47,5.56,446.0,73.92,,"Good run. Nice breeze. ",2016-08-28-1945.gpx
2016-08-28 16:31:15,Walking,,2.32,29:59,12:56,4.64,122.911107822874,,,"Walking",
2016-08-28 13:23:04,Walking,,1.35,16:57,12:33,4.78,75.8946258013088,,,"Walking",
2016-08-27 20:25:26,Walking,,1.52,19:22,12:42,4.72,105.966081307488,,,"Walking",
2016-08-27 19:05:48,Running,,5.02,53:04,10:34,5.68,438.0,380.00,,"Restart run 🏃. Day 4. Difficult run but could make it. ",2016-08-27-1905.gpx
2016-08-26 18:25:40,Walking,,1.64,20:34,12:34,4.77,90.9303535543983,,,"Walking",
2016-08-26 15:20:11,Walking,,1.48,16:50,11:23,5.27,75.8946258013088,,,"Walking",
2016-08-25 20:00:30,Running,,4.21,46:07,10:57,5.48,279.0,47.16,,"Restart run. Day 3. Good run. Nice weather. ",2016-08-25-2000.gpx
2016-08-23 19:06:22,Running,,4.44,42:17,9:31,6.30,312.0,48.86,,"Restart run, day 2. Good weather, tough run. ",2016-08-23-1906.gpx
2016-08-23 18:24:36,Walking,,0.72,9:11,12:42,4.72,52.9830406537439,,,"Walking",
2016-08-23 14:50:26,Walking,,1.38,16:52,12:15,4.89,84.0091455410714,,,"Walking",
